MSE,Pearson,Spearman,Kendall,MSE-to-rho
3.615337251369532545e-01,3.419258570486402582e-01,2.811784870184138585e-01,1.878340625911572026e-01,2.582941162646869682e+00
3.486579871518414309e-01,3.210867475489777023e-01,3.431780502840320879e-01,2.417641788556902649e-01,1.058916669605999950e+00
2.227450596061394117e-01,5.037843478597294755e-01,5.302515260508050554e-01,3.593636704588072939e-01,2.553126397809842185e+00
2.755149918931670827e-01,4.523113323210734005e-01,4.878392342865505715e-01,3.467569904571404238e-01,6.372633339918494677e+00
2.417294897618474936e-01,4.100303252763584094e-01,4.173121235830019593e-01,2.931549568696086294e-01,3.213721613072828998e+00
1.558978655438424676e-01,3.236997769966367122e-01,2.993636503103696000e-01,2.000997416343709145e-01,2.196057478051681944e+00
3.082177459962856525e-01,5.490627522428812579e-01,5.630682367276288458e-01,3.954716422886193627e-01,3.322815578228706102e+00
3.002679399773925950e-01,4.222218740518875468e-01,4.384354789286794563e-01,3.150881776888777019e-01,4.553385098978552925e+00
3.788854855455759396e-01,3.308005970689913977e-01,3.633388730131074662e-01,2.372167979330749299e-01,1.150424255954230146e+00
2.445273206380162989e-01,3.379927205839804993e-01,3.181854113544596019e-01,2.197481976913780721e-01,1.840142312167637906e+00
2.069830342577467508e-01,3.967616772108302770e-01,4.198912384358006733e-01,2.853433762553652109e-01,2.426212915720937335e+00
2.683836949589168408e-01,3.072268859978929956e-01,2.695344526177259059e-01,1.919226569987914910e-01,2.620023460855124942e+00
2.816285828997864837e-01,2.853243459611448096e-01,3.287306199723534217e-01,2.266762511980663641e-01,1.690186706936106953e+00
1.664132670947521542e-01,2.856412055314543341e-01,3.009866650310417113e-01,2.079324915614451375e-01,2.802194564745660532e+00
1.577035533683182056e-01,3.770971884278700448e-01,3.751780765887200442e-01,2.507865774888527466e-01,3.289142457339343295e+00
2.103912018822515495e-01,4.192048877490122116e-01,4.244526152570721744e-01,2.954713922573654616e-01,4.152222306355651149e+00
1.595287672410675428e-01,3.582653237046599659e-01,3.625160150080627974e-01,2.387228195191065383e-01,3.010359734071594406e+00
1.234698768877789954e-01,4.553712432937788712e-01,4.615162204690035352e-01,3.146729174480142888e-01,3.752760608276326959e+00
3.385880052878180724e-01,4.220493087709045743e-01,4.152427146287924753e-01,2.769493269992082118e-01,1.596075321104899025e+00
1.793586498558452647e-01,3.740759418757040322e-01,3.849252640535197334e-01,2.805333583364587047e-01,2.122494337317528679e+00
3.745530365793297567e-01,2.922059987946666326e-01,3.419460487022820683e-01,2.498653998416468236e-01,1.190888561172457338e+00
4.777914543131787650e-01,3.808624513869268147e-01,3.611966057296345234e-01,2.424749968746092998e-01,2.653673017030617753e+00
2.437533650061503854e-01,3.609776133208293936e-01,3.868313733176777514e-01,2.770958869858731743e-01,1.612856220163541243e+00
1.313782345173918897e-01,5.326454967801491636e-01,5.361745386433521832e-01,3.695628411884818720e-01,6.558175687707429979e+00
2.473802887711085974e-01,4.729688711290358505e-01,5.066501712289089854e-01,3.413237904738091744e-01,3.096519782734728832e+00
2.986571058851403837e-01,2.878125292592882412e-01,3.111419470490929817e-01,2.075065216485393604e-01,1.758019044538052356e+00
3.233464537326404264e-01,3.654503329911791276e-01,3.967474530351164930e-01,2.831525815726965156e-01,1.290614803018159451e+00
3.377669687877873361e-01,1.442277253207817911e-01,1.473250993253922003e-01,1.103101220985956421e-01,3.007075620223767509e-01
2.677607108026070493e-01,5.519099618601939206e-01,5.407086496595102654e-01,3.796474559319913955e-01,7.656968768977853834e+00
3.384612825036963923e-01,2.264104619330087609e-01,1.839760828668138004e-01,1.146355794474308992e-01,6.983270186822957415e-01
3.544595151590648752e-01,2.121448562173655350e-01,2.638018527547165148e-01,1.938535441930241132e-01,1.130839573482540272e+00
2.940340658148363207e-01,1.985902426570939350e-01,2.185047852031998250e-01,1.588896945451514775e-01,1.559569837287891891e+00
1.757901175720760489e-01,6.278967949887306332e-01,6.263776962324641984e-01,4.374857482185272595e-01,5.663616756683616416e+00
2.476510653557666142e-01,3.994837785283142928e-01,4.126513740883027137e-01,2.840959911655623338e-01,2.175867859990204156e+00
2.580427721933869489e-01,2.252042735165646903e-01,2.092087019485735222e-01,1.517468433554194085e-01,1.084593617348799333e+00
2.597133014143865881e-01,2.805168295857349836e-01,2.938264096144752036e-01,2.125291078051423088e-01,3.061487862745271737e+00
3.216004472543967374e-01,2.042986137480908848e-01,1.718050821532044470e-01,1.203543567945993265e-01,1.000660484395013539e+00
1.867334587326141548e-01,3.655484868472167470e-01,3.287058622454041568e-01,2.139053214985206230e-01,2.401659064627115203e+00
