MSE,Pearson,Spearman,Kendall,MSE-to-rho
2.329517217464546486e-01,6.840148011016372598e-01,6.830475703601184279e-01,4.970198358128098959e-01,3.806974189825516053e+00
5.372832921911786519e-01,7.324198093238982743e-01,7.375098010704658202e-01,5.482453014960202431e-01,2.201411380917111860e+00
3.570771021300529480e-01,7.801586229598376221e-01,7.839032279750507426e-01,6.051561653540025176e-01,3.363044958411354202e+00
4.927594580913294831e-01,6.980595549924700771e-01,7.207478401132476620e-01,5.269423261240987477e-01,3.115245906133996545e+00
1.642259765196361354e-01,7.128190186012114404e-01,7.093308119036064729e-01,5.177460099179063135e-01,4.795408553660663209e+00
2.410966349278413912e-01,5.969977092920070172e-01,5.828835850841186383e-01,4.127542401133474370e-01,2.821366234470798151e+00
6.643676615580270672e-01,6.030849705101188896e-01,5.905150837658608154e-01,4.163686710838853666e-01,1.534053474389904137e+00
2.902188182088185076e-01,7.290868910304341144e-01,7.302027283859802154e-01,5.359778930699669042e-01,2.861440665018545104e+00
5.760462242411356071e-01,6.963249190291582735e-01,6.932007722609495604e-01,5.052063382922864498e-01,2.650358530148462233e+00
4.252339021288102927e-01,7.217847921681359580e-01,7.118575306227740151e-01,5.164145101471016019e-01,2.214223528433600041e+00
4.909116171454324662e-01,5.955644279814084063e-01,5.866327040333235709e-01,4.349825811559777655e-01,1.163209710539515607e+00
3.411743101254994248e-01,7.176191248454579785e-01,7.309672169369877404e-01,5.336183064549734345e-01,3.054213394953530614e+00
2.821539898173393568e-01,7.259339506245691132e-01,7.393169731455776494e-01,5.403298954035921087e-01,4.475645990916760297e+00
3.317459900014065322e-01,7.364059127282779338e-01,7.343194295909286629e-01,5.337768054340125135e-01,3.254140782741847371e+00
4.341531659323974446e-01,6.312582580053656134e-01,6.548866854826046469e-01,4.817269658707337143e-01,2.993555823145600758e+00
4.644935047385674309e-01,6.064396310091816344e-01,6.117511928086124540e-01,4.309971246405799872e-01,2.605017894780953025e+00
4.947466136973452389e-01,6.231268815271584494e-01,6.144093936782718535e-01,4.407952035671125479e-01,1.935087147813418396e+00
1.207408616152114561e-01,7.839055819107804135e-01,7.930070857110482763e-01,6.053678376463723643e-01,7.111327540878026099e+00
6.331237717258960673e-01,6.708297721470445341e-01,6.633740520605322377e-01,4.742874109263657267e-01,2.155878396643002848e+00
5.661927280262003537e-01,5.021674441961095914e-01,4.958009585906400507e-01,3.496955244405550167e-01,1.734149111710450386e+00
3.489826763222025896e-01,4.180200758013692952e-01,4.278548457008570227e-01,3.111094928532732173e-01,1.286688143493118552e+00
4.161321979598298637e-01,7.599421506247773239e-01,7.818668996385453873e-01,5.778362086927532060e-01,1.930840034392096172e+00
1.293869687114683198e-01,6.955427327453724828e-01,7.031050407516413747e-01,5.394020919281575788e-01,6.164010307869321359e+00
2.297892424983884185e-01,6.847137151635017682e-01,6.858878992638736127e-01,4.917957661374336986e-01,5.132529106704595279e+00
3.007903471394694495e-01,6.052026473532192696e-01,5.808666225604161015e-01,4.190748218527315383e-01,2.977966565348816985e+00
3.917551313827259407e-01,7.735520494692974536e-01,7.831206270643850109e-01,5.930424636412884309e-01,4.539492384418344351e+00
3.255383740439128926e-01,7.940979839291818498e-01,7.861071715329246423e-01,5.912796391215567882e-01,5.447194303408259941e+00
1.588181822668628118e-01,7.019764910197813235e-01,6.940184035002876506e-01,5.215258573988413859e-01,4.466015354592300035e+00
2.946793546562544996e-01,7.404179579472224271e-01,7.361097934548407329e-01,5.555428178522314742e-01,3.023652661150926235e+00
2.814624137433988094e-01,7.859830350271969079e-01,7.787840193950629208e-01,5.885361295161894990e-01,4.544446003610083551e+00
2.617652146363477761e-01,6.600841998762696505e-01,6.486764648777573194e-01,4.710147726799182588e-01,2.554672827129619517e+00
4.559991945524673462e-01,6.379448262881678433e-01,6.351127498689493889e-01,4.484650998041421199e-01,3.139477537263108076e+00
3.678696075503537499e-01,7.729603089558816365e-01,7.745697892276530716e-01,5.752570738008917495e-01,3.375184790727504325e+00
4.702840160681596715e-01,6.402174577896636576e-01,6.695654547822728064e-01,4.830075426094928015e-01,1.996306157300588913e+00
5.210509931424817109e-01,4.635328000762958811e-01,4.613380180287191545e-01,3.267422594490977938e-01,9.383218937545173555e-01
7.147768381092048928e-01,7.314014964427748566e-01,7.314653192494583456e-01,5.462424678084759622e-01,2.487527966545045377e+00
