MSE,Pearson,Spearman,Kendall,MSE-to-rho
4.237568386965112066e-01,9.294646410848349527e-01,9.109278662098105883e-01,7.358843188731923890e-01,5.680167094363429925e+00
4.251008228344398954e-01,6.558656309415941132e-01,6.318725643339463405e-01,4.981743967995999056e-01,3.508155066321589910e+00
1.359103178165970149e-01,9.240559253479742052e-01,9.132316335739317781e-01,7.348705254823517663e-01,1.354215646061244094e+01
5.014376629996675216e-02,9.614750129475044815e-01,9.520003181212465249e-01,7.999756574577312485e-01,1.932077249684607878e+01
1.427028514908766643e-01,9.237860461489932895e-01,9.109063799438498199e-01,7.346422261115971297e-01,7.645707233642145439e+00
8.305990565440130036e-02,9.340914388751172526e-01,9.169835531598655720e-01,7.302374225107640671e-01,1.162687901130868617e+01
2.277131744405899993e-01,7.285984406252481449e-01,6.929286965301360013e-01,5.284966870858857080e-01,5.244405483990981054e+00
4.577081735756064612e-02,9.420013405265893480e-01,9.151270167551314172e-01,7.436064452274907532e-01,2.014433739716896810e+01
2.319359408615203344e-01,8.595203230744713485e-01,8.470043189922552562e-01,6.539971454765178827e-01,4.036698873811256583e+00
9.156694402204483552e-02,9.256897496255153124e-01,9.154870604925773314e-01,7.344268368883909437e-01,1.096039823008182879e+01
3.992356620334552159e-02,9.383545995965242303e-01,9.066798310434260877e-01,7.241146193768045469e-01,2.582479111149113749e+01
1.614490839159222757e-01,9.317619651756396948e-01,9.240101529845338169e-01,7.554646414135098853e-01,1.256468553742205962e+01
6.851693046218539085e-02,9.430496497919392818e-01,9.297723206289151276e-01,7.660804406939103472e-01,1.877475927255699162e+01
7.341994655389631752e-02,9.358086194294029658e-01,9.161709790807966991e-01,7.382340709255322819e-01,1.259692130352316930e+01
9.119196646048062516e-02,9.452589321479981654e-01,9.257473794072411666e-01,7.596271692068975456e-01,1.603050690928605704e+01
1.179784477859589509e-01,8.771837281253281882e-01,8.484757682034844706e-01,6.610219981350157203e-01,8.265946881426923909e+00
6.037333264011188194e-02,9.520367860684988415e-01,9.506953054926073898e-01,7.957370602207207710e-01,1.929468320825963445e+01
2.429842494943556253e-01,8.564417987870488469e-01,8.343116730751826138e-01,6.237094845188980718e-01,6.636034426511862705e+00
1.683848503773962835e-01,8.648146152342310877e-01,8.479481628137223170e-01,6.601998786556767529e-01,1.032724705784669439e+01
1.303393070363199069e-01,8.624005610501436214e-01,7.874893131963082160e-01,6.157369137109424129e-01,1.064142080673909518e+01
4.267133639473319473e-02,9.520851092302676788e-01,9.119827763356685990e-01,7.344054048422717917e-01,2.195111356449118034e+01
4.312398851860915761e-02,9.622452662857940986e-01,9.515532847430202557e-01,8.005275034379296661e-01,2.485920281845437785e+01
5.608573642605502174e-02,9.414099509712742231e-01,9.363230498658258183e-01,7.784766769601120240e-01,1.679107174235300803e+01
1.147833503797817262e-01,9.487705702912614392e-01,9.074872706560513924e-01,7.277777847230902930e-01,1.107752604130719476e+01
6.872025524159637577e-02,9.594781747370744185e-01,9.319377223710577640e-01,7.662771939201622473e-01,1.506481919546629911e+01
5.237581708544158249e-02,9.567184340173023882e-01,9.335832083853601304e-01,7.751125505137665961e-01,1.899300727863295890e+01
