MSE,Pearson,Spearman,Kendall,MSE-to-rho
6.257566637612242688e-02,9.755655742692157517e-01,9.762174131205846317e-01,8.674033420844270426e-01,1.821222883458781538e+01
1.243386886256476337e-01,9.620848860288728766e-01,9.606957594874337980e-01,8.354888319373253713e-01,3.182131367597061455e+01
2.594715325370243186e-01,9.033901814432381272e-01,9.077358380739974919e-01,7.477009626203274806e-01,7.978471495526306079e+00
1.032890050624816619e-01,9.629972098443589923e-01,9.642936652545887055e-01,8.404595366087427299e-01,1.171334989413171712e+01
3.026650193412096235e-02,9.661325257357167295e-01,9.667601645040652114e-01,8.458571488102677449e-01,4.269987622747522238e+01
5.089433023620166391e-02,9.685354138653878842e-01,9.696447962913250507e-01,8.513940075842812982e-01,2.631171586938772222e+01
5.721300675929522767e-02,9.620378099151484230e-01,9.679526748898856781e-01,8.451457890569654685e-01,2.923514293649328977e+01
5.251120527478159161e-02,9.600041893452476716e-01,9.621590692290480362e-01,8.323198108096843129e-01,3.868448190994391922e+01
1.293618502147353133e-01,9.255575180492353615e-01,9.161057223063395760e-01,7.645220860940948882e-01,1.300752768428692541e+01
9.847233564454604959e-02,9.481826311423834364e-01,9.523850828966420323e-01,8.210641538525648153e-01,1.155210773144736258e+01
2.224214272716209528e-01,9.501307801932300512e-01,9.496361631974402639e-01,8.069826853356668606e-01,1.137179775283637717e+01
1.069217341110234587e-01,9.488656432593872703e-01,9.476001592281275698e-01,8.039278451473098608e-01,2.195754559178027776e+01
8.289848151445979030e-02,9.565200127543427300e-01,9.576500742679699973e-01,8.272566570821351384e-01,2.394728386336181458e+01
1.227967167060783488e-01,9.447094393002734014e-01,9.397950683561732133e-01,7.978791723965494853e-01,8.099405091712482019e+00
4.187171400462624815e-02,9.485716303455008491e-01,9.560138497658413614e-01,8.239592240696751446e-01,2.415731508447827025e+01
6.993532104860959719e-02,9.506635769947907599e-01,9.505709562354839326e-01,8.151808142684501268e-01,2.999823643071765744e+01
9.070043189982041065e-02,9.533111992930390910e-01,9.524701558120338696e-01,8.296378714005916422e-01,1.434445863911676078e+01
1.169256365231730599e-01,9.473436774211360101e-01,9.520905612357900560e-01,8.085273784223027116e-01,1.413657305616041349e+01
6.575137912441116061e-02,9.303479695815460859e-01,9.337532433164570378e-01,7.993327499270740377e-01,1.597518158479774364e+01
5.594419934978884373e-02,9.737694900625757377e-01,9.741775677371496966e-01,8.635182731174729787e-01,2.479867635495109468e+01
7.193708882346694367e-02,9.585149036802445011e-01,9.578903224201614774e-01,8.336689169479516437e-01,4.031930721380061300e+01
9.927618096324532238e-02,9.513352089765262365e-01,9.495743373136615872e-01,8.092576988790263215e-01,2.171837741381330034e+01
9.310764447884871398e-02,9.664801383577663607e-01,9.702099765345311155e-01,8.523371879818308905e-01,1.883471624151371770e+01
4.274713367746243303e-02,9.672005794252891420e-01,9.720411585397058518e-01,8.571697503854647238e-01,2.812567363594113701e+01
1.324532841385249460e-01,9.577882217605632187e-01,9.584408693350138231e-01,8.312991623952991072e-01,2.779663667019524453e+01
7.935805419141295225e-02,9.489676579545546220e-01,9.535595573524933144e-01,8.236969829562026391e-01,4.396723497708861572e+01
